norm_power: [-0.5, -0.4, -0.3, -0.2, -0.1]
norm_power_len: [-20, -20, -20, -20, -20]
5->4->3->2->1


graph_norm_type: 'adjacency'
pair_norm_type: 'adjacency'
pair_dis_type: 'cosine'
pair_trunc: -20
norm_power: [-0.5, -0.4, -0.3, -0.2, -0.1]
norm_power_len: [-20, -20, -20, -20, -20]
22839, 1.22370315, 0.33750001, 1.22370315               1.17450559, 1.17437613, 1.17418754
22840, 1.22364366, 0.33750001, 1.22364366               1.17450559, 1.17437613, 1.17418754
22841, 1.22359252, 0.33750001, 1.22359252               1.17450559, 1.17437613, 1.17418754
22842, 1.22356272, 0.33750001, 1.22356272               1.17450559, 1.17437613, 1.17418754
22843, 1.22355700, 0.33750001, 1.22355700               1.17450559, 1.17437613, 1.17418754
22844, 1.22343791, 0.33846155, 1.22343791               1.17450559, 1.17437613, 1.17418754
22845, 1.22337031, 0.33846155, 1.22337031               1.17450559, 1.17437613, 1.17418754
22846, 1.22332251, 0.33846155, 1.22332251               1.17450559, 1.17437613, 1.17418754
22847, 1.22331214, 0.33846155, 1.22331214               1.17450559, 1.17437613, 1.17418754
22848, 1.22323668, 0.34038460, 1.22323668               1.17450559, 1.17437613, 1.17418754
22849, 1.22324920, 0.34038460, 1.22324920               1.17450559, 1.17437613, 1.17418754
22850, 1.22313237, 0.34038460, 1.22313237               1.17450559, 1.17437613, 1.17418754
22851, 1.22317231, 0.33942309, 1.22317231               1.17450559, 1.17437613, 1.17418754
22852, 1.22310698, 0.33942309, 1.22310698               1.17450559, 1.17437613, 1.17418754
22853, 1.22305357, 0.33942309, 1.22305357               1.17450559, 1.17437613, 1.17418754
22854, 1.22298431, 0.34038460, 1.22298431               1.17450559, 1.17437613, 1.17418754
22855, 1.22297657, 0.33942309, 1.22297657               1.17450559, 1.17437613, 1.17418754
22856, 1.22291076, 0.33942309, 1.22291076               1.17450559, 1.17437613, 1.17418754
22857, 1.22284007, 0.34038460, 1.22284007               1.17450559, 1.17437613, 1.17418754
